# baobzi pack/scatter bench (nanobench, xsimd lane_w=8)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 800.0 and 4,600.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi pack/scatter
|     2.7% |                4.60 |      217,272,770.30 |    0.4% |           58.04 |           14.22 |  4.082 |           7.02 |    0.1% |      0.24 | `1d_tanh_sharp scalar_loop<128> deg=10`
|     2.7% |                4.64 |      215,374,512.45 |    0.0% |           55.56 |           14.34 |  3.873 |           7.13 |    0.1% |      0.24 | `1d_tanh_sharp eval_pack<256> deg=10`
|     2.7% |                4.64 |      215,726,507.97 |    1.0% |           58.02 |           14.32 |  4.051 |           7.01 |    0.1% |      0.25 | `1d_tanh_sharp scalar_loop<256> deg=10`
|     3.4% |                3.63 |      275,630,517.33 |    0.6% |           36.52 |           11.20 |  3.260 |           4.31 |    0.7% |      0.24 | `1d_tanh_sharp eval_pack<1024> deg=10`
|     2.7% |                4.66 |      214,709,746.48 |    1.5% |           58.00 |           14.39 |  4.031 |           7.00 |    0.0% |      0.25 | `1d_tanh_sharp scalar_loop<1024> deg=10`
|   109.2% |                3.67 |      272,635,458.88 |    0.0% |           51.00 |           11.33 |  4.501 |           7.00 |    0.0% |      0.24 | `1d_tanh500_deep eval_pack<1> deg=6`
|   108.3% |                3.70 |      270,535,313.00 |    0.0% |           51.00 |           11.42 |  4.467 |           7.00 |    0.0% |      0.24 | `1d_tanh500_deep scalar_loop<1> deg=6`
|    27.8% |                3.60 |      277,907,906.85 |    0.0% |           46.25 |           11.11 |  4.161 |           5.50 |    0.0% |      0.24 | `1d_tanh500_deep eval_pack<4> deg=6`
|    27.6% |                3.62 |      276,154,421.62 |    0.0% |           46.50 |           11.19 |  4.157 |           5.50 |    0.0% |      0.24 | `1d_tanh500_deep scalar_loop<4> deg=6`
|    14.0% |                3.58 |      279,002,607.49 |    0.0% |           45.63 |           11.07 |  4.122 |           5.25 |    0.0% |      0.24 | `1d_tanh500_deep eval_pack<8> deg=6`
|    13.5% |                3.71 |      269,827,095.26 |    0.0% |           51.63 |           11.45 |  4.510 |           7.25 |    0.0% |      0.24 | `1d_tanh500_deep scalar_loop<8> deg=6`
|     6.9% |                3.63 |      275,183,002.61 |    1.5% |           45.31 |           11.22 |  4.038 |           5.13 |    0.0% |      0.23 | `1d_tanh500_deep eval_pack<16> deg=6`
|     6.6% |                3.80 |      263,255,099.49 |    1.8% |           51.31 |           11.73 |  4.374 |           7.13 |    0.0% |      0.23 | `1d_tanh500_deep scalar_loop<16> deg=6`
|     3.4% |                3.67 |      272,704,752.38 |    0.2% |           48.44 |           11.32 |  4.278 |           7.06 |    0.0% |      0.24 | `1d_tanh500_deep eval_pack<32> deg=6`
|     3.3% |                3.81 |      262,204,211.62 |    2.5% |           51.16 |           11.78 |  4.342 |           7.06 |    0.0% |      0.25 | `1d_tanh500_deep scalar_loop<32> deg=6`
|     3.3% |                3.74 |      267,084,314.20 |    1.1% |           48.34 |           11.57 |  4.180 |           7.03 |    0.0% |      0.24 | `1d_tanh500_deep eval_pack<64> deg=6`
|     3.3% |                3.84 |      260,748,383.39 |    1.8% |           51.08 |           11.85 |  4.311 |           7.03 |    0.0% |      0.24 | `1d_tanh500_deep scalar_loop<64> deg=6`
|     3.2% |                3.89 |      257,222,116.05 |    0.0% |           48.71 |           12.01 |  4.056 |           7.16 |    0.1% |      0.24 | `1d_tanh500_deep eval_pack<128> deg=6`
|     3.4% |                3.71 |      269,283,535.93 |    0.0% |           51.04 |           11.47 |  4.449 |           7.02 |    0.1% |      0.24 | `1d_tanh500_deep scalar_loop<128> deg=6`
|     3.1% |                4.00 |      250,002,330.02 |    0.6% |           48.56 |           12.36 |  3.930 |           7.13 |    0.1% |      0.24 | `1d_tanh500_deep eval_pack<256> deg=6`
|     3.4% |                3.73 |      267,792,365.84 |    0.8% |           51.02 |           11.53 |  4.423 |           7.01 |    0.1% |      0.24 | `1d_tanh500_deep scalar_loop<256> deg=6`
|     3.2% |                3.91 |      255,521,483.08 |    0.6% |           38.88 |           12.08 |  3.218 |           5.01 |    0.9% |      0.24 | `1d_tanh500_deep eval_pack<1024> deg=6`
|     3.4% |                3.70 |      270,418,430.54 |    0.0% |           51.00 |           11.42 |  4.465 |           7.00 |    0.0% |      0.24 | `1d_tanh500_deep scalar_loop<1024> deg=6`
|    93.7% |                4.27 |      234,107,989.66 |    0.5% |           54.00 |           13.20 |  4.091 |           7.00 |    0.0% |      0.24 | `1d_tanh1000_deep eval_pack<1> deg=8`
|    96.4% |                4.15 |      240,853,228.36 |    0.0% |           54.00 |           12.83 |  4.210 |           7.00 |    0.0% |      0.24 | `1d_tanh1000_deep scalar_loop<1> deg=8`
|    23.7% |                4.23 |      236,368,821.16 |    0.1% |           49.25 |           13.07 |  3.769 |           5.50 |    0.0% |      0.24 | `1d_tanh1000_deep eval_pack<4> deg=8`
|    23.9% |                4.18 |      238,961,325.82 |    0.0% |           55.25 |           12.93 |  4.274 |           7.50 |    0.0% |      0.24 | `1d_tanh1000_deep scalar_loop<4> deg=8`
|    11.8% |                4.25 |      235,297,620.43 |    0.7% |           48.63 |           13.13 |  3.704 |           5.25 |    0.0% |      0.24 | `1d_tanh1000_deep eval_pack<8> deg=8`
|    11.9% |                4.22 |      237,067,517.31 |    1.0% |           54.63 |           13.03 |  4.192 |           7.25 |    0.0% |      0.24 | `1d_tanh1000_deep scalar_loop<8> deg=8`
|     5.9% |                4.22 |      236,981,723.02 |    0.0% |           48.31 |           13.03 |  3.706 |           5.13 |    0.0% |      0.24 | `1d_tanh1000_deep eval_pack<16> deg=8`
|     6.0% |                4.17 |      239,874,338.29 |    0.1% |           54.31 |           12.87 |  4.219 |           7.13 |    0.0% |      0.24 | `1d_tanh1000_deep scalar_loop<16> deg=8`
|     2.8% |                4.41 |      226,938,341.80 |    1.3% |           51.44 |           13.60 |  3.781 |           7.06 |    0.0% |      0.25 | `1d_tanh1000_deep eval_pack<32> deg=8`
|     2.8% |                4.52 |      221,096,048.89 |    1.0% |           54.16 |           13.97 |  3.876 |           7.06 |    0.0% |      0.24 | `1d_tanh1000_deep scalar_loop<32> deg=8`
|     3.0% |                4.14 |      241,394,065.04 |    0.7% |           51.34 |           12.80 |  4.012 |           7.03 |    0.0% |      0.24 | `1d_tanh1000_deep eval_pack<64> deg=8`
|     3.0% |                4.16 |      240,135,728.57 |    0.0% |           54.08 |           12.86 |  4.204 |           7.03 |    0.0% |      0.24 | `1d_tanh1000_deep scalar_loop<64> deg=8`
|     2.8% |                4.46 |      224,315,952.25 |    1.7% |           51.71 |           13.77 |  3.756 |           7.16 |    0.1% |      0.24 | `1d_tanh1000_deep eval_pack<128> deg=8`
|     2.9% |                4.27 |      234,254,502.28 |    1.6% |           54.04 |           13.19 |  4.097 |           7.02 |    0.1% |      0.25 | `1d_tanh1000_deep scalar_loop<128> deg=8`
|     2.8% |                4.43 |      225,727,602.85 |    0.3% |           51.56 |           13.69 |  3.767 |           7.13 |    0.1% |      0.24 | `1d_tanh1000_deep eval_pack<256> deg=8`
|     3.0% |                4.17 |      239,702,712.46 |    0.1% |           54.02 |           12.89 |  4.192 |           7.01 |    0.1% |      0.25 | `1d_tanh1000_deep scalar_loop<256> deg=8`
|     3.5% |                3.55 |      281,910,075.95 |    1.3% |           36.66 |           10.95 |  3.347 |           4.41 |    0.8% |      0.24 | `1d_tanh1000_deep eval_pack<1024> deg=8`
|     3.0% |                4.20 |      237,903,317.29 |    0.9% |           54.00 |           12.99 |  4.159 |           7.00 |    0.0% |      0.24 | `1d_tanh1000_deep scalar_loop<1024> deg=8`
| 7,208.6% |                7.11 |      140,667,549.02 |    0.5% |          128.88 |           21.96 |  5.867 |          23.25 |    0.0% |      0.23 | `1d_scatter scatter_sorted deg=8 R=16 N=64`
|11,082.3% |                4.62 |      216,258,323.14 |    0.3% |           73.05 |           14.28 |  5.114 |           9.72 |    0.0% |      0.24 | `1d_scatter scatter_counting deg=8 R=16 N=64`
|12,850.0% |                3.99 |      250,752,721.16 |    0.1% |           53.27 |           12.32 |  4.324 |           7.03 |    0.0% |      0.24 | `1d_scatter scatter_naive  deg=8 R=16 N=64`
| 1,889.3% |                6.78 |      147,467,468.73 |    0.4% |          111.18 |           20.95 |  5.306 |          19.89 |    0.0% |      0.24 | `1d_scatter scatter_sorted deg=8 R=16 N=256`
| 2,723.6% |                4.70 |      212,593,896.16 |    0.4% |           64.94 |           14.53 |  4.469 |           7.79 |    0.0% |      0.24 | `1d_scatter scatter_counting deg=8 R=16 N=256`
| 3,215.1% |                3.98 |      250,957,863.52 |    0.1% |           53.07 |           12.31 |  4.311 |           7.01 |    0.1% |      0.24 | `1d_scatter scatter_naive  deg=8 R=16 N=256`
|   470.0% |                6.82 |      146,732,385.65 |    0.7% |          100.15 |           21.06 |  4.756 |          17.84 |    0.2% |      0.24 | `1d_scatter scatter_sorted deg=8 R=16 N=1024`
|   680.0% |                4.71 |      212,311,801.36 |    1.9% |           63.21 |           14.55 |  4.344 |           7.41 |    0.2% |      0.24 | `1d_scatter scatter_counting deg=8 R=16 N=1024`
|   792.0% |                4.04 |      247,282,499.01 |    0.9% |           53.02 |           12.49 |  4.245 |           7.00 |    0.0% |      0.24 | `1d_scatter scatter_naive  deg=8 R=16 N=1024`
